date_local,NO2_mean_ppb,NO2_median_ppb,NO2_max_ppb,AQI_mean,first_max_hour_mode
2020-05-18,4.716835733333334,4.320833,16.35,8.733333333333333,5
2020-05-19,6.350702133333333,5.841667,20.275,13.2,5
2020-05-20,7.8283835999999996,6.958333,20.466667,16.533333333333335,5
2020-05-21,11.976882733333332,11.05,27.720833,20.933333333333334,3
2020-05-22,6.507767,6.466667,10.82,14.266666666666667,4
2020-05-23,3.4678139999999997,3.341667,5.129167,7.4,23
2020-05-24,5.802678571428571,5.3520835,9.841667,10.428571428571429,3
2020-05-25,6.693439428571429,6.6020835,11.1125,11.928571428571429,1
2020-05-26,11.1904748,10.05,21.6375,20.133333333333333,7
2020-05-27,10.974640666666666,11.452381,18.370833,18.8,1
2020-05-28,8.364181875,8.022917,14.908333,14.0625,9
2020-05-29,6.508815375,6.85,9.480952,11.0,6
2020-05-30,3.67004075,3.7,7.866667,6.9375,5
2020-05-31,4.2995129375,3.958333,8.270833,8.375,23
2020-06-01,9.3629971875,8.63125,22.779167,17.8125,3
2020-06-02,12.051376,12.1916665,19.033333,19.6875,6
2020-06-03,11.36213775,10.242572500000001,22.6625,24.5,6
2020-06-04,5.9899836875,5.825362,10.283333,9.9375,9
2020-06-05,4.13531375,4.5,5.8625,8.25,8
2020-06-06,3.466711875,3.4124999999999996,6.841667,7.375,23
2020-06-07,3.9258265,3.4270835,6.545833,9.8125,5
2020-06-08,7.2022951875,5.0854165,23.479167,19.375,22
2020-06-09,12.61767275,9.45,40.033333,25.625,5
2020-06-10,15.4741775625,16.3270835,35.620833,30.875,4
2020-06-11,13.3208714375,13.6820075,19.783333,27.9375,6
2020-06-12,7.2902636874999995,8.020833,10.2875,12.6875,8
2020-06-13,5.3229733125,5.6666665,8.916667,10.25,0
2020-06-14,4.9002490625,5.166667,7.2875,10.375,22
2020-06-15,7.4757134375000005,7.3520835,10.470833,16.5,3
2020-06-16,5.5172455000000005,5.47178,10.579167,10.1875,8
2020-06-17,4.8207994375,4.725,7.645833,8.875,19
2020-06-18,6.728929,7.060771000000001,9.925,12.375,21
2020-06-19,5.9805109375,5.543182,13.4125,9.8125,6
2020-06-20,4.312466125,3.364312,12.279167,6.6875,10
2020-06-21,3.637749125,3.747917,6.204167,5.875,20
2020-06-22,7.1043591875,6.802083,13.854167,13.1875,21
2020-06-23,8.7970298125,8.610417,16.3625,15.0625,1
2020-06-24,8.352355062500001,7.59375,21.9,14.0,10
2020-06-25,7.3400176875000005,7.821250000000001,12.620833,12.0,9
2020-06-26,8.656453875,7.214583,22.2875,14.3125,23
