date_local,CO_mean_ppm,CO_median_ppm,CO_max_ppm,AQI_mean
2020-04-01,0.2740385384615385,0.2875,0.395833,4.153846153846154
2020-04-02,0.18429484615384617,0.2,0.3,2.230769230769231
2020-04-03,0.22884607692307693,0.233333,0.3125,3.4615384615384617
2020-04-04,0.21858992307692307,0.204167,0.354167,2.8461538461538463
2020-04-05,0.14647430769230768,0.120833,0.3,1.8461538461538463
2020-04-06,0.15833330769230772,0.15,0.316667,2.076923076923077
2020-04-07,0.20448715384615385,0.2,0.354167,2.5384615384615383
2020-04-08,0.191521,0.179167,0.345833,2.6153846153846154
2020-04-09,0.19270833333333334,0.189583,0.304167,2.3333333333333335
2020-04-10,0.21215266666666666,0.214583,0.3125,3.75
2020-04-11,0.27708333333333335,0.2729165,0.4,4.833333333333333
2020-04-12,0.175641,0.2,0.3,1.9230769230769231
2020-04-13,0.19391023076923078,0.2,0.3,2.4615384615384617
2020-04-14,0.2791667692307692,0.279167,0.445833,4.230769230769231
2020-04-15,0.29423069230769233,0.258333,0.45,4.538461538461538
2020-04-16,0.2625,0.245833,0.416667,4.230769230769231
2020-04-17,0.19500900000000002,0.2,0.325,2.4615384615384617
2020-04-18,0.17032053846153847,0.2,0.3,1.9230769230769231
2020-04-19,0.17532046153846154,0.2,0.3,1.8461538461538463
2020-04-20,0.19262815384615387,0.2,0.3,2.230769230769231
2020-04-21,0.20096153846153844,0.208333,0.304167,2.6153846153846154
2020-04-22,0.2852563846153846,0.304167,0.433333,4.6923076923076925
2020-04-23,0.26282053846153847,0.233333,0.433333,3.6923076923076925
2020-04-24,0.29358984615384615,0.3125,0.4375,4.538461538461538
2020-04-25,0.2717949230769231,0.2625,0.425,3.5384615384615383
2020-04-26,0.2958334615384616,0.316667,0.420833,4.461538461538462
2020-04-27,0.27307692307692305,0.308333,0.383333,3.769230769230769
2020-04-28,0.29711808333333334,0.3375,0.413333,4.416666666666667
2020-04-29,0.2694444166666667,0.29375,0.354167,3.5
2020-04-30,0.24427091666666667,0.2614585,0.4,3.0833333333333335
2020-05-01,0.2251021666666667,0.23811300000000002,0.358333,2.9166666666666665
2020-05-02,0.21840283333333332,0.225,0.329167,2.9166666666666665
2020-05-03,0.19886372727272728,0.2,0.341667,2.6363636363636362
2020-05-04,0.25906433333333334,0.26249999999999996,0.35,3.5833333333333335
2020-05-05,0.31136363636363634,0.329167,0.45,5.181818181818182
2020-05-06,0.32348472727272726,0.320833,0.475,5.0
2020-05-07,0.35224783333333337,0.35,0.589474,5.583333333333333
2020-05-08,0.3201922307692308,0.320833,0.5,4.769230769230769
2020-05-09,0.2532050769230769,0.258333,0.4375,3.076923076923077
2020-05-10,0.21634615384615385,0.2,0.408333,2.5384615384615383
2020-05-11,0.19326923076923078,0.2,0.4,2.230769230769231
2020-05-12,0.1987066923076923,0.183333,0.420833,2.4615384615384617
2020-05-13,0.19066738461538463,0.2,0.308333,2.4615384615384617
2020-05-14,0.20281176923076924,0.2,0.270833,2.6923076923076925
2020-05-15,0.19049146153846155,0.208333,0.255556,2.3846153846153846
2020-05-16,0.24166646153846155,0.245833,0.325,3.6153846153846154
2020-05-17,0.19326930769230768,0.2,0.266667,2.769230769230769
2020-05-18,0.14423076923076922,0.133333,0.2,1.5384615384615385
2020-05-19,0.15651707692307693,0.172222,0.2,1.8461538461538463
2020-05-20,0.18287453846153845,0.2,0.235294,2.3076923076923075
2020-05-21,0.2460016153846154,0.245833,0.35625,3.8461538461538463
2020-05-22,0.2009290769230769,0.216667,0.276471,2.3846153846153846
2020-05-23,0.15801276923076923,0.175,0.208333,1.9230769230769231
2020-05-24,0.2173076923076923,0.220833,0.3125,3.230769230769231
2020-05-25,0.24423076923076922,0.254167,0.358333,3.0
2020-05-26,0.2736306153846154,0.2875,0.416667,3.923076923076923
2020-05-27,0.253579,0.2625,0.3625,3.4615384615384617
2020-05-28,0.21153846153846154,0.229167,0.3125,2.6923076923076925
2020-05-29,0.1777777692307692,0.2,0.233333,2.0
2020-05-30,0.13901518181818182,0.141667,0.2,1.5454545454545454
2020-05-31,0.16325763636363635,0.2,0.241667,2.0
2020-06-01,0.2133839090909091,0.220833,0.316667,3.272727272727273
2020-06-02,0.22378474999999998,0.2375,0.3,3.0833333333333335
2020-06-03,0.24722225,0.2625,0.333333,3.8333333333333335
2020-06-04,0.18353723076923079,0.2,0.233333,2.076923076923077
2020-06-05,0.14326915384615385,0.108333,0.2,1.5384615384615385
2020-06-06,0.13365384615384615,0.108333,0.2,1.6923076923076923
2020-06-07,0.16506423076923077,0.183333,0.229167,2.076923076923077
2020-06-08,0.15972225,0.16875,0.2875,2.5833333333333335
2020-06-09,0.2136966923076923,0.2,0.366667,3.4615384615384617
2020-06-10,0.29076176923076924,0.266667,0.516667,4.6923076923076925
2020-06-11,0.2876131538461539,0.295833,0.395833,4.769230769230769
2020-06-12,0.18846153846153849,0.2,0.245833,2.1538461538461537
2020-06-13,0.175,0.2,0.254167,2.230769230769231
2020-06-14,0.1759616153846154,0.2,0.2375,2.3076923076923075
2020-06-15,0.20801269230769232,0.229167,0.258333,3.0
2020-06-16,0.15641023076923075,0.158333,0.208333,1.8461538461538463
2020-06-17,0.15705123076923078,0.170833,0.2,1.7692307692307692
2020-06-18,0.17211538461538464,0.170833,0.2375,2.076923076923077
2020-06-19,0.17760416666666667,0.2,0.225,2.25
2020-06-20,0.16874999999999998,0.1770835,0.25,1.9166666666666667
2020-06-21,0.17465275,0.19166650000000002,0.25,1.9166666666666667
2020-06-22,0.2045138333333333,0.22291650000000002,0.3,2.5
2020-06-23,0.21076383333333334,0.225,0.3,2.5
2020-06-24,0.19861091666666666,0.208333,0.295833,2.5
2020-06-25,0.17569441666666666,0.18958350000000002,0.2625,2.0
2020-06-26,0.18854158333333335,0.2,0.270833,2.25
2020-06-27,0.18888891666666666,0.19166650000000002,0.275,2.1666666666666665
2020-06-28,0.121875,0.11458299999999999,0.175,1.5833333333333333
2020-06-29,0.11249991666666669,0.1041665,0.1625,1.5
2020-06-30,0.16562508333333334,0.179167,0.241667,2.0833333333333335
2020-07-01,0.16282046153846153,0.166667,0.2,1.8461538461538463
2020-07-02,0.16474361538461538,0.170833,0.245833,2.0
2020-07-03,0.21794861538461538,0.220833,0.333333,3.3846153846153846
2020-07-04,0.2323716923076923,0.245833,0.3625,3.3076923076923075
2020-07-05,0.25961538461538464,0.3,0.375,4.3076923076923075
2020-07-06,0.2772436153846154,0.2875,0.433333,4.461538461538462
2020-07-07,0.21794876923076922,0.25,0.3,2.8461538461538463
2020-07-08,0.19049138461538462,0.204167,0.279167,2.3846153846153846
2020-07-09,0.20320515384615384,0.225,0.275,2.6153846153846154
2020-07-10,0.250641,0.254167,0.366667,3.3846153846153846
2020-07-11,0.261218,0.283333,0.425,4.0
2020-07-12,0.21527758333333333,0.239583,0.345833,2.6666666666666665
2020-07-13,0.19027775,0.2,0.341667,2.4166666666666665
2020-07-14,0.16180558333333334,0.2,0.216667,1.75
2020-07-15,0.17083325000000002,0.2,0.245833,1.8333333333333333
2020-07-16,0.18749991666666666,0.2,0.279167,2.25
2020-07-17,0.18923608333333333,0.208333,0.279167,2.5
