DATE,TMAX_C,TMIN_C,TAVG_C,PRCP_mm,AWND,WT01,WT02,WT08
2021-12-31,15.0,7.222222222222222,11.11111111111111,0.0,0.89,1,0,0
2022-01-01,16.666666666666668,7.222222222222222,11.944444444444445,0.0,1.12,0,0,1
2022-01-02,17.77777777777778,6.111111111111111,11.944444444444445,0.0,1.79,0,0,0
2022-01-03,16.666666666666668,5.555555555555555,11.11111111111111,0.0,1.34,0,0,0
2022-01-04,17.22222222222222,5.555555555555555,11.38888888888889,0.0,0.22,0,0,1
2022-01-05,20.555555555555554,6.111111111111111,13.333333333333332,0.0,0.22,1,0,1
2022-01-06,21.666666666666668,7.777777777777778,14.722222222222221,0.0,0.0,1,0,1
2022-01-07,13.333333333333332,8.88888888888889,11.11111111111111,0.0,0.89,1,1,1
2022-01-08,17.22222222222222,8.88888888888889,13.055555555555555,0.0,0.89,1,0,1
2022-01-09,23.88888888888889,7.222222222222222,15.555555555555555,0.0,0.0,1,0,1
2022-01-10,22.77777777777778,10.555555555555555,16.666666666666668,0.0,1.57,0,0,0
2022-01-11,25.555555555555554,10.0,17.77777777777778,0.0,1.12,0,0,0
2022-01-12,24.444444444444443,8.333333333333334,16.38888888888889,0.0,0.67,0,0,0
2022-01-13,20.555555555555554,13.333333333333332,16.944444444444443,0.0,0.67,0,0,0
2022-01-14,23.333333333333332,10.555555555555555,16.944444444444443,0.0,0.67,0,0,0
2022-01-15,20.0,11.666666666666666,15.833333333333332,0.254,0.45,0,0,0
2022-01-16,23.88888888888889,15.555555555555555,19.72222222222222,0.0,1.34,0,0,0
2022-01-17,17.77777777777778,13.88888888888889,15.833333333333332,4.571999999999999,1.12,1,0,0
2022-01-18,18.333333333333332,12.222222222222221,15.277777777777777,0.0,0.89,1,0,1
2022-01-19,17.77777777777778,11.11111111111111,14.444444444444445,0.0,0.45,1,0,1
2022-01-20,23.333333333333332,8.333333333333334,15.833333333333332,0.0,1.12,1,0,1
2022-01-21,21.11111111111111,8.333333333333334,14.722222222222221,0.0,2.01,0,0,1
