date_local,PM25_mean_ugm3,PM25_median_ugm3,PM25_max_ugm3,AQI_mean
2020-07-07,15.142857142857142,14.9,19.3,62.142857142857146
2020-07-08,14.814285714285715,14.5,20.3,61.5
2020-07-09,14.442857142857141,15.0,17.4,60.57142857142857
2020-07-10,14.333333333333334,14.15,18.3,60.5
2020-07-11,9.700000000000001,9.8,12.8,50.083333333333336
2020-07-12,11.557142857142859,12.5,13.7,53.285714285714285
2020-07-13,13.957142857142857,14.3,16.3,59.285714285714285
2020-07-14,11.492857142857144,11.7,14.2,54.857142857142854
2020-07-15,8.285714285714286,8.3,10.3,45.42857142857143
2020-07-16,8.157142857142857,7.4,10.6,44.42857142857143
2020-07-17,7.341666666666666,7.050000000000001,9.6,40.583333333333336
2020-07-18,5.085714285714286,4.6,7.0,28.285714285714285
2020-07-19,6.114285714285714,5.8,7.2,34.0
2020-07-20,8.335714285714285,8.05,11.4,45.285714285714285
2020-07-21,9.4,9.2,12.5,49.57142857142857
2020-07-22,7.957142857142857,7.8,10.1,43.57142857142857
2020-07-23,6.954545454545454,7.2,8.4,38.72727272727273
2020-07-24,6.614285714285714,7.1,7.8,36.714285714285715
2020-07-25,8.828571428571427,9.0,10.6,47.714285714285715
2020-07-26,9.65,9.75,13.5,50.785714285714285
2020-07-27,9.357142857142858,9.7,12.1,49.285714285714285
2020-07-28,10.328571428571427,9.8,13.3,52.857142857142854
2020-07-29,11.458333333333334,10.75,15.7,54.833333333333336
2020-07-30,9.814285714285715,9.1,14.1,50.57142857142857
2020-07-31,13.157142857142858,13.5,16.7,57.0
2020-08-01,13.299999999999999,13.35,16.7,58.857142857142854
2020-08-02,11.157142857142857,10.6,15.5,54.57142857142857
2020-08-03,12.314285714285715,13.6,16.4,54.857142857142854
2020-08-04,10.541666666666666,10.75,13.0,53.0
2020-08-05,8.985714285714286,9.2,10.1,48.714285714285715
2020-08-06,9.0,8.8,11.2,48.42857142857143
2020-08-07,9.228571428571428,9.2,11.3,49.5
2020-08-08,11.242857142857144,11.4,14.4,52.57142857142857
2020-08-09,9.257142857142856,9.7,11.8,48.42857142857143
2020-08-10,9.308333333333334,9.05,14.0,48.583333333333336
2020-08-11,7.842857142857143,7.8,10.8,42.285714285714285
2020-08-12,9.642857142857142,9.3,12.7,49.57142857142857
2020-08-13,9.807142857142859,9.0,17.8,50.5
2020-08-14,12.771428571428572,11.5,25.8,57.285714285714285
2020-08-15,18.17142857142857,16.2,27.3,67.85714285714286
2020-08-16,15.533333333333333,12.149999999999999,48.6,63.666666666666664
2020-08-17,16.52857142857143,14.6,32.1,64.71428571428571
2020-08-18,18.071428571428573,15.4,36.0,67.85714285714286
2020-08-19,15.364285714285714,14.5,34.1,62.714285714285715
2020-08-20,19.357142857142858,12.2,59.3,71.57142857142857
2020-08-21,25.957142857142856,18.1,74.7,81.14285714285714
2020-08-22,22.150000000000002,22.35,26.1,75.33333333333333
2020-08-23,12.87142857142857,12.1,18.0,58.0
2020-08-24,12.1,11.9,15.3,56.285714285714285
2020-08-25,9.76923076923077,9.9,11.9,50.84615384615385
2020-08-26,10.3625,10.95,12.3,52.0
2020-08-27,17.04285714285714,16.8,19.4,65.85714285714286
2020-08-28,11.591666666666667,12.6,14.7,54.583333333333336
2020-08-29,9.471428571428572,9.4,13.3,48.857142857142854
2020-08-30,8.928571428571429,9.0,11.8,47.42857142857143
2020-08-31,10.178571428571429,9.7,13.7,52.714285714285715
2020-09-01,9.37142857142857,8.7,12.4,48.714285714285715
2020-09-02,10.571428571428571,10.3,11.8,53.42857142857143
2020-09-03,14.758333333333333,13.7,22.7,61.5
2020-09-04,19.042857142857144,19.2,21.5,69.57142857142857
2020-09-05,21.057142857142857,21.4,24.9,73.14285714285714
2020-09-06,18.384615384615383,19.3,24.8,68.15384615384616
2020-09-07,24.7,14.8,73.9,78.66666666666667
2020-09-08,19.216666666666665,13.8,45.9,71.0
2020-09-09,14.966666666666667,14.100000000000001,33.0,61.083333333333336
2020-09-10,18.257142857142856,18.3,31.5,67.71428571428571
2020-09-11,37.8875,39.75,48.7,108.875
2020-09-12,53.306666666666665,55.0,102.7,139.0
2020-09-13,45.4625,47.150000000000006,52.1,126.5
2020-09-14,58.125,59.3,66.5,149.625
2020-09-15,57.93846153846154,56.7,74.1,146.3846153846154
2020-09-16,42.94444444444444,43.0,60.0,118.55555555555556
2020-09-17,22.457142857142856,21.3,28.5,75.85714285714286
2020-09-18,20.642857142857142,20.25,27.7,72.42857142857143
2020-09-19,13.414285714285715,12.9,15.3,59.285714285714285
2020-09-20,15.2,15.1,18.4,62.42857142857143
2020-09-21,16.175,15.9,23.0,64.25
2020-09-22,15.728571428571428,15.5,20.9,63.42857142857143
2020-09-23,15.87142857142857,15.1,24.5,63.57142857142857
2020-09-24,15.842857142857143,14.0,32.7,63.57142857142857
2020-09-25,12.033333333333333,11.75,14.4,56.666666666666664
2020-09-26,14.471428571428572,12.7,25.0,61.0
2020-09-27,14.15,13.95,20.0,60.333333333333336
2020-09-28,16.585714285714285,16.8,21.2,64.85714285714286
2020-09-29,12.557142857142859,11.9,18.1,56.57142857142857
2020-09-30,14.385714285714286,14.1,18.7,61.07142857142857
2020-10-01,17.985714285714288,18.0,23.4,67.57142857142857
2020-10-02,20.571428571428573,20.5,26.8,72.14285714285714
2020-10-03,25.116666666666664,23.75,39.8,81.0
2020-10-04,40.65714285714286,41.6,46.0,113.85714285714286
2020-10-05,36.32857142857143,35.9,43.4,103.57142857142857
2020-10-06,31.214285714285715,30.95,39.9,92.78571428571429
2020-10-07,23.842857142857145,23.7,26.8,78.14285714285714
2020-10-08,18.599999999999998,18.8,22.8,68.85714285714286
2020-10-09,16.033333333333335,16.65,18.5,63.916666666666664
2020-10-10,10.285714285714286,10.9,12.4,52.42857142857143
2020-10-11,8.471428571428572,8.1,11.4,45.42857142857143
2020-10-12,13.184615384615386,12.5,17.7,58.53846153846154
2020-10-13,15.4,15.9,20.7,63.0
2020-10-14,18.657142857142855,18.9,22.3,69.0
2020-10-15,18.483333333333334,19.15,22.7,68.58333333333333
2020-10-16,13.842857142857142,14.0,17.7,59.57142857142857
2020-10-17,13.014285714285716,13.3,16.6,58.0
2020-10-18,18.6,19.0,23.8,68.61538461538461
2020-10-19,13.657142857142857,13.0,18.3,59.42857142857143
2020-10-20,19.416666666666668,18.75,26.4,70.16666666666667
2020-10-21,25.845454545454547,26.1,35.4,82.27272727272727
2020-10-22,11.533333333333333,10.55,15.9,55.666666666666664
2020-10-23,10.700000000000001,9.4,14.7,53.333333333333336
2020-10-24,7.923076923076923,7.8,10.1,43.61538461538461
2020-10-25,6.6000000000000005,6.2,8.8,36.333333333333336
2020-10-26,24.849999999999998,27.15,30.2,80.16666666666667
2020-10-27,38.58181818181818,46.8,61.8,110.18181818181819
2020-10-28,22.21666666666667,23.2,33.5,74.0
2020-10-29,22.8,24.85,31.1,75.83333333333333
2020-10-30,17.9,19.0,23.4,67.07692307692308
2020-10-31,19.733333333333334,20.75,29.2,70.33333333333333
